,ID,Name,N_from,N_from_2023,N_to,N_to_2023,delay_frac_from,delay_frac_from_2023,delay_frac_to,delay_frac_to_2023
138,12391,"Islip, NY: Long Island MacArthur",48835,2907,48885,2917,0.18458073103307054,0.2511179910560716,0.2630050117622993,0.30065135413095645
15,10372,"Aspen, CO: Aspen Pitkin County Sardy Field",48446,4455,49758,4592,0.24012302357263757,0.2978675645342312,0.23405281562763777,0.24150696864111498
66,11140,"Corpus Christi, TX: Corpus Christi International",48062,2384,48113,2390,0.15388456576921478,0.10906040268456375,0.19753496975869309,0.15481171548117154
187,13422,"Mobile, AL: Mobile Regional",46721,1608,46814,1610,0.15783052588771646,0.15111940298507462,0.18535053616439526,0.17391304347826086
171,13230,"Harrisburg, PA: Harrisburg International",46238,3634,46364,3635,0.15173666681084821,0.16538249862410567,0.1803554481925632,0.19449793672627236
113,11977,"Green Bay, WI: Green Bay Austin Straubel International",44133,2561,44203,2561,0.134185303514377,0.11479890667707926,0.17765762504807367,0.14564623194064819
156,12951,"Lafayette, LA: Lafayette Regional Paul Fournet Field",43414,1859,43545,1863,0.1595337909430138,0.16675632060247444,0.17446319898955104,0.15780998389694043
146,12523,"Juneau, AK: Juneau International",42333,3186,42537,3187,0.11669383223489949,0.1167608286252354,0.11514681336248443,0.14308126764982743
270,15249,"Tallahassee, FL: Tallahassee International",42183,3095,42261,3099,0.14138396984567242,0.13150242326332795,0.16511677433094343,0.1600516295579219
244,14698,"San Luis Obispo, CA: San Luis County Regional",41695,3018,41815,3016,0.18508214414198346,0.20410868124585818,0.17319143847901472,0.1896551724137931
135,12323,"Wilmington, NC: Wilmington International",41370,4913,41386,4913,0.14650713077109015,0.14654996946875637,0.16539409462136956,0.1681253816405455
184,13367,"Moline, IL: Quad Cities International",39973,2169,40027,2170,0.15467940860080553,0.13278008298755187,0.19391910460439205,0.1631336405529954
264,15024,"Charlotte Amalie, VI: Cyril E King",39869,3313,39980,3326,0.16867741854573728,0.23483247811651073,0.16988494247123562,0.19422730006013228
94,11624,"Key West, FL: Key West International",38485,4610,38576,4624,0.1749512797193712,0.23210412147505424,0.1311955620074658,0.15289792387543252
225,14457,"Rapid City, SD: Rapid City Regional",38400,2639,38482,2643,0.14875,0.1557408109132247,0.16407671118964712,0.17707150964812712
215,14108,"Peoria, IL: General Downing - Peoria International",38308,2149,38408,2155,0.16007100344575545,0.1614704513727315,0.18865861278900228,0.1679814385150812
191,13476,"Monterey, CA: Monterey Regional",38029,2525,38154,2532,0.16219201135975178,0.1706930693069307,0.17688839964354983,0.18799368088467613
176,13264,"Medford, OR: Rogue Valley International - Medford",37818,3083,37922,3086,0.1762123856364694,0.10963347388906909,0.18179420916618322,0.1474400518470512
141,12441,"Jackson, WY: Jackson Hole",37678,3794,37780,3807,0.17991931631190616,0.2459146020031629,0.1887771307570143,0.2172314158129761
227,14489,"Bend/Redmond, OR: Roberts Field",37412,3945,37485,3946,0.14375066823479096,0.1158428390367554,0.1589435774309724,0.13963507349214394
102,11721,"Flint, MI: Bishop International",36521,1457,36516,1457,0.12691328276881794,0.1695264241592313,0.18939642896264652,0.2779684282772821
112,11973,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",36244,1907,36338,1906,0.1429753890299084,0.11221814368117462,0.17309703340855304,0.14428121720881426
17,10408,"Appleton, WI: Appleton International",36026,3092,36074,3091,0.15014156442569254,0.157503234152652,0.18586793812718302,0.23778712390812035
175,13256,"Mission/McAllen/Edinburg, TX: McAllen International",35371,1887,35419,1891,0.15099940629329112,0.1976682564917859,0.20531353228493182,0.254362771020624
364,14761,"Sanford, FL: Orlando Sanford International",35263,6232,35210,6226,0.21458752800385672,0.2503209242618742,0.2776199943197955,0.28894956633472535
95,11630,"Fairbanks, AK: Fairbanks International",35080,2122,35086,2126,0.10473204104903079,0.13053722902921772,0.1261756826084478,0.19143932267168393
110,11921,"Grand Junction, CO: Grand Junction Regional",34956,2059,35006,2070,0.10553266964183546,0.1680427391937834,0.12492144203850769,0.15458937198067632
129,12206,"Harlingen/San Benito, TX: Valley International",34630,2367,34687,2371,0.14236211377418423,0.12420785804816223,0.20007495603540232,0.17376634331505694
27,10620,"Billings, MT: Billings Logan International",34332,2394,34402,2405,0.09786787836420832,0.13868003341687551,0.14359630254054997,0.2074844074844075
219,14252,"Pasco/Kennewick/Richland, WA: Tri Cities",34299,3524,34346,3528,0.10848712790460363,0.11180476730987514,0.15332207535084144,0.13577097505668934
91,11612,"Evansville, IN: Evansville Regional",31765,1204,31821,1206,0.14890602864788288,0.1378737541528239,0.17353320134502373,0.14013266998341625
276,15380,"Traverse City, MI: Cherry Capital",31654,2912,31748,2924,0.17170025905098882,0.16792582417582416,0.18407458737558272,0.1686046511627907
10,10208,"Augusta, GA: Augusta Regional at Bush Field",31442,2587,31473,2584,0.16662426054322244,0.1874758407421724,0.17402217773964987,0.17182662538699692
193,13486,"Missoula, MT: Missoula Montana",31250,2686,31317,2692,0.130848,0.18205510052122115,0.14548009068557013,0.18684992570579495
67,11146,"Charleston/Dunbar, WV: West Virginia International Yeager",31109,2280,31171,2274,0.18518756629914174,0.1675438596491228,0.19688171698052678,0.16402814423922604
28,10627,"Bismarck/Mandan, ND: Bismarck Municipal",31026,2263,31103,2267,0.14578095790627216,0.16747680070702606,0.16371411117898596,0.15703573003970003
115,11982,"Killeen, TX: Robert Gray AAF",30461,1000,30536,1006,0.1392272085617675,0.149,0.17857610689022793,0.13717693836978131
177,13277,"Montgomery, AL: Montgomery Regional",30449,1518,30503,1518,0.16979211139938916,0.18511198945981555,0.18903058715536178,0.1732542819499341
0,10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",30359,2852,30387,2848,0.14914852267861262,0.1567321178120617,0.18540823378418403,0.21032303370786518
111,11953,"Gainesville, FL: Gainesville Regional",30260,1808,30347,1810,0.15786516853932583,0.15597345132743362,0.16799024615283223,0.15082872928176796
9,10185,"Alexandria, LA: Alexandria International",28579,1186,28615,1180,0.1485356380559152,0.15935919055649242,0.16694041586580466,0.14322033898305084
52,10990,"Charlottesville, VA: Charlottesville Albemarle",28208,1886,28316,1898,0.17931083380601248,0.13732767762460232,0.19759146772142958,0.1506849315068493
360,14112,"St. Petersburg, FL: St Pete Clearwater International",28052,5363,28041,5362,0.17941679737630115,0.1870221890732799,0.2188937627046111,0.22286460276016412
24,10561,"Bakersfield, CA: Meadows Field",27074,1713,27109,1707,0.1380291054147891,0.17746643315820199,0.1813419897451031,0.18804920913884007
134,12280,"Idaho Falls, ID: Idaho Falls Regional",26853,2079,26904,2079,0.10412244441961792,0.16690716690716692,0.12708147487362473,0.14381914381914382
